SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,72 Oak Grove Dr,Novato,CA,94949,1750000,5,3.5,Novato,2934,5456,2004,12,596,33,Active,,,https://www.redfin.com/CA/Novato/72-Oak-Grove-Dr-94949/home/731246,BAREIS,323912773,N,Y,38.0696536,-122.5483885
MLS Listing,,Single Family Residential,3 Laconheath Ave,Novato,CA,94949,1299000,4,3.5,Novato,2126,4125,1998,29,611,25,Active,,,https://www.redfin.com/CA/Novato/3-Laconheath-Ave-94949/home/1268506,BAREIS,323909714,N,Y,38.0578933,-122.516246
MLS Listing,,Single Family Residential,350 Montezuma Ave,Forest Knolls,CA,94933,299000,2,2.0,Forest Knolls,1222,12685,1924,84,245,,Active,,,https://www.redfin.com/CA/Forest-Knolls/350-Montezuma-Ave-94933/home/1334691,BAREIS,323049639,N,Y,38.008932,-122.685397
MLS Listing,,Single Family Residential,100 Allyn Ave,San Anselmo,CA,94960,1050000,2,1.0,San Anselmo,1056,4748,1965,1,994,,Active,,,https://www.redfin.com/CA/San-Anselmo/100-Allyn-Ave-94960/home/546715,BAREIS,323912280,N,Y,37.9756476,-122.5785781
MLS Listing,,Single Family Residential,590 Thyme Pl,San Rafael,CA,94903,1199000,3,3.0,San Rafael,1977,7209,1958,1,606,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Rafael/590-Thyme-Pl-94903/home/853773,BAREIS,323916951,N,Y,38.0116808,-122.5594102
MLS Listing,,Townhouse,13 Flemings Ct,Sausalito,CA,94965,798000,2,2.0,Sausalito,1234,1529,1997,1,647,376,Active,,,https://www.redfin.com/CA/Sausalito/13-Flemings-Ct-94965/home/1121212,San Francisco MLS,323912108,N,Y,37.8699576,-122.5098872
MLS Listing,,Single Family Residential,144 Hillside Ave,Mill Valley,CA,94941,4495000,5,5.5,Mill Valley,3491,12602,1924,1,1288,,Active,,,https://www.redfin.com/CA/Mill-Valley/144-Hillside-Ave-94941/home/1056943,BAREIS,323912929,N,Y,37.908067,-122.5439252
MLS Listing,,Townhouse,464 Bahia Way,San Rafael,CA,94901,575000,3,1.5,San Rafael,1323,3598,1973,1,435,400,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Rafael/464-Bahia-Way-94901/home/549721,BAREIS,323913724,N,Y,37.9639369,-122.5001182
MLS Listing,,Single Family Residential,699 Hawthorne Dr,Tiburon,CA,94920,995000,2,1.0,Tiburon,879,7200,1949,1,1132,,Active,,,https://www.redfin.com/CA/Tiburon/699-Hawthorne-Dr-94920/home/886332,BAREIS,323915260,N,Y,37.8893271,-122.4770413
MLS Listing,,Single Family Residential,102 Columbia Ave,Mill Valley,CA,94941,1675000,3,3.0,Mill Valley,1713,9361,1961,1,978,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Mill-Valley/102-Columbia-Ave-94941/home/1295665,BAREIS,323916775,N,Y,37.8888402,-122.5314181
MLS Listing,,Single Family Residential,3 Lagoon Rd,Belvedere,CA,94920,2850000,3,2.0,Belvedere,1424,9609,1942,1,2001,,Active,October-14-2023 02:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Belvedere-Tiburon/3-Lagoon-Rd-94920/home/613739,BAREIS,323916382,N,Y,37.883042,-122.4711598
MLS Listing,,Multi-Family (5+ Unit),386 Pine Hill Rd,Mill Valley,CA,94941,2500000,4,2.0,Mill Valley,3520,7501,1963,1,710,,Active,,,https://www.redfin.com/CA/Mill-Valley/386-Pine-Hill-Rd-94941/home/1163458,San Francisco MLS,323917135,N,Y,37.8806077,-122.5353609
MLS Listing,,Single Family Residential,659 Chapman Dr,Corte Madera,CA,94925,5995000,5,5.5,Corte Madera,5095,29264,2007,1,1177,,Active,,,https://www.redfin.com/CA/Corte-Madera/659-Chapman-Dr-94925/home/985331,BAREIS,323916920,N,Y,37.9193875,-122.525385
