,price,bedrooms,bathrooms,size
225,1699000,3,2.5,1925
226,739000,3,2.0,1464
227,591800,1,1.0,646
229,5180000,5,5.5,3780
230,1598000,3,3.0,1851
231,2800000,4,2.5,1758
232,1048000,2,1.5,998
234,1030000,3,2.5,2682
235,1410000,3,2.5,2201
236,1099000,3,2.0,1530
237,1500000,3,3.5,1560
238,1350000,3,3.5,1374
239,2798000,6,3.0,2584
240,724888,3,1.5,1156
242,1325000,3,2.0,1278
243,2898000,5,3.0,1937
244,849000,2,2.5,1310
245,899000,2,2.5,1360
246,1600000,3,2.0,1240
247,1550000,2,2.0,1960
248,529000,2,1.5,1112
249,1699999,4,2.0,1440
250,1300000,3,3.0,2370
251,1499950,4,2.5,1836
252,1679000,3,3.0,1590
253,1399000,4,2.5,1908
254,745000,3,2.0,1287
255,1325000,4,2.0,2144
257,1650000,3,2.5,2132
258,1998000,4,3.5,2040
259,1250000,3,2.5,1849
260,1998000,3,2.0,1645
261,2998000,5,4.0,2554
262,985000,3,1.5,1176
263,999998,4,2.0,1139
264,2250000,4,3.0,1306
265,525000,3,2.0,1602
266,1875000,3,2.0,1824
267,2385000,4,2.0,1834
268,1377000,3,1.0,1225
269,349950,3,2.0,1596
270,998800,2,2.5,1292
271,2294000,4,3.0,3024
272,859500,2,2.0,1140
273,938000,2,2.0,1803
274,1488888,4,4.0,2149
275,1295000,3,2.0,1470
276,510000,2,1.0,1020
277,1098000,3,1.0,1060
278,1698000,6,3.0,2043
279,1198000,4,2.0,1234
280,948000,2,1.0,914
281,3024055,5,5.5,5122
282,1475000,3,2.0,1260
283,2795000,4,2.5,2416
284,4499000,5,4.5,2672
285,740000,3,3.0,1201
286,3098665,5,5.5,5333
287,1498000,4,4.0,1784
288,1150000,3,2.0,2022
289,3200000,3,4.0,4000
290,2199000,4,3.0,2223
291,1650000,8,4.0,2880
292,2299000,4,2.5,1805
293,3288000,4,4.5,3136
294,3998000,4,2.5,2176
295,6750000,5,4.5,5166
296,2998888,4,3.0,2655
297,3698000,4,2.5,2670
298,1950000,3,2.0,2301
299,1698000,3,2.5,1226
300,1446469,2,2.5,1444
301,1999000,2,1.0,1222
302,1268888,3,2.5,1859
303,1499888,4,2.5,2567
304,2498000,2,1.0,1232
305,4800000,3,3.5,2780
306,1299888,3,3.5,1697
307,1280000,3,1.5,1265
308,1698000,2,1.0,1100
309,1395000,3,2.0,2050
310,1395000,2,1.0,1210
311,530000,2,1.0,798
312,1678000,2,1.0,930
313,1895000,2,2.0,1301
314,1295000,3,2.0,1639
315,854000,4,2.0,1654
316,3398000,4,3.0,1885
317,2250000,4,2.5,2963
318,1288000,3,2.5,1628
319,2780000,4,2.0,2476
320,1750000,5,3.5,2934
321,865000,3,2.0,1450
322,1100000,3,2.0,1184
323,2378999,4,2.5,2364
324,1200000,4,4.0,1930
325,2248000,4,2.5,1955
326,1138000,3,3.5,1712
327,1118000,3,1.0,1316
328,899999,3,1.0,1040
329,1498000,4,2.0,1236
330,839000,2,2.5,1473
331,1600000,4,2.5,1768
332,669000,3,1.0,1050
333,880000,3,2.5,1886
334,1500000,3,2.0,1108
335,1190000,3,2.0,1128
336,1299000,4,3.5,2126
337,589000,1,1.0,831
338,999000,6,3.0,3862
339,2300000,6,4.0,3096
340,595000,3,2.0,1176
341,490000,1,1.0,667
342,1999999,4,4.0,3231
343,615000,1,1.0,687
344,299000,2,2.0,1222
345,685000,1,1.0,868
347,510000,2,1.5,970
348,850000,5,3.0,3003
349,1350000,2,2.0,1211
350,1750000,5,3.5,2934
351,865000,3,2.0,1450
352,1100000,3,2.0,1184
353,2378999,4,2.5,2364
354,1200000,4,4.0,1930
355,2248000,4,2.5,1955
356,1138000,3,3.5,1712
357,1118000,3,1.0,1316
358,899999,3,1.0,1040
359,1498000,4,2.0,1236
360,839000,2,2.5,1473
361,1600000,4,2.5,1768
362,669000,3,1.0,1050
363,880000,3,2.5,1886
364,1500000,3,2.0,1108
365,1190000,3,2.0,1128
366,1299000,4,3.5,2126
367,589000,1,1.0,831
368,999000,6,3.0,3862
369,2300000,6,4.0,3096
370,595000,3,2.0,1176
371,490000,1,1.0,667
372,1999999,4,4.0,3231
373,615000,1,1.0,687
374,299000,2,2.0,1222
375,685000,1,1.0,868
377,510000,2,1.5,970
378,850000,5,3.0,3003
379,1350000,2,2.0,1211
380,1750000,5,3.5,2934
381,865000,3,2.0,1450
382,1100000,3,2.0,1184
383,2378999,4,2.5,2364
384,1200000,4,4.0,1930
385,2248000,4,2.5,1955
386,1138000,3,3.5,1712
387,1118000,3,1.0,1316
388,899999,3,1.0,1040
389,1498000,4,2.0,1236
390,839000,2,2.5,1473
391,1600000,4,2.5,1768
392,669000,3,1.0,1050
393,880000,3,2.5,1886
394,1500000,3,2.0,1108
395,1190000,3,2.0,1128
396,1299000,4,3.5,2126
397,589000,1,1.0,831
398,999000,6,3.0,3862
399,2300000,6,4.0,3096
400,595000,3,2.0,1176
401,490000,1,1.0,667
402,1999999,4,4.0,3231
403,615000,1,1.0,687
404,299000,2,2.0,1222
405,685000,1,1.0,868
407,510000,2,1.5,970
408,850000,5,3.0,3003
409,1350000,2,2.0,1211
410,1750000,5,3.5,2934
411,865000,3,2.0,1450
412,1100000,3,2.0,1184
413,2378999,4,2.5,2364
414,1200000,4,4.0,1930
415,2248000,4,2.5,1955
416,1138000,3,3.5,1712
417,1118000,3,1.0,1316
418,899999,3,1.0,1040
419,1498000,4,2.0,1236
420,839000,2,2.5,1473
421,1600000,4,2.5,1768
422,669000,3,1.0,1050
423,880000,3,2.5,1886
424,1500000,3,2.0,1108
425,1190000,3,2.0,1128
426,1299000,4,3.5,2126
427,589000,1,1.0,831
428,999000,6,3.0,3862
429,2300000,6,4.0,3096
430,595000,3,2.0,1176
431,490000,1,1.0,667
432,1999999,4,4.0,3231
433,615000,1,1.0,687
434,299000,2,2.0,1222
435,685000,1,1.0,868
437,510000,2,1.5,970
438,850000,5,3.0,3003
439,1350000,2,2.0,1211
440,1750000,5,3.5,2934
441,865000,3,2.0,1450
442,1100000,3,2.0,1184
443,2378999,4,2.5,2364
444,1200000,4,4.0,1930
445,2248000,4,2.5,1955
446,1138000,3,3.5,1712
447,1118000,3,1.0,1316
448,899999,3,1.0,1040
449,1498000,4,2.0,1236
450,839000,2,2.5,1473
451,1600000,4,2.5,1768
452,669000,3,1.0,1050
453,880000,3,2.5,1886
454,1500000,3,2.0,1108
455,1190000,3,2.0,1128
456,1299000,4,3.5,2126
457,589000,1,1.0,831
458,999000,6,3.0,3862
459,2300000,6,4.0,3096
460,595000,3,2.0,1176
461,490000,1,1.0,667
462,1999999,4,4.0,3231
463,615000,1,1.0,687
464,299000,2,2.0,1222
465,685000,1,1.0,868
467,510000,2,1.5,970
468,850000,5,3.0,3003
469,1350000,2,2.0,1211
470,1750000,5,3.5,2934
471,865000,3,2.0,1450
472,1100000,3,2.0,1184
473,2378999,4,2.5,2364
474,1200000,4,4.0,1930
475,2248000,4,2.5,1955
476,1138000,3,3.5,1712
477,1118000,3,1.0,1316
478,899999,3,1.0,1040
479,1498000,4,2.0,1236
480,839000,2,2.5,1473
481,1600000,4,2.5,1768
482,669000,3,1.0,1050
483,880000,3,2.5,1886
484,1500000,3,2.0,1108
485,1190000,3,2.0,1128
486,1299000,4,3.5,2126
487,589000,1,1.0,831
488,999000,6,3.0,3862
489,2300000,6,4.0,3096
490,595000,3,2.0,1176
491,490000,1,1.0,667
492,1999999,4,4.0,3231
493,615000,1,1.0,687
494,299000,2,2.0,1222
495,685000,1,1.0,868
497,510000,2,1.5,970
498,850000,5,3.0,3003
499,1350000,2,2.0,1211
500,1750000,5,3.5,2934
501,865000,3,2.0,1450
502,1100000,3,2.0,1184
503,2378999,4,2.5,2364
504,1200000,4,4.0,1930
505,2248000,4,2.5,1955
506,1138000,3,3.5,1712
507,1118000,3,1.0,1316
508,899999,3,1.0,1040
509,1498000,4,2.0,1236
510,839000,2,2.5,1473
511,1600000,4,2.5,1768
512,669000,3,1.0,1050
513,880000,3,2.5,1886
514,1500000,3,2.0,1108
515,1190000,3,2.0,1128
516,1299000,4,3.5,2126
517,589000,1,1.0,831
518,999000,6,3.0,3862
519,2300000,6,4.0,3096
520,595000,3,2.0,1176
521,490000,1,1.0,667
522,1999999,4,4.0,3231
523,615000,1,1.0,687
524,299000,2,2.0,1222
525,685000,1,1.0,868
527,510000,2,1.5,970
528,850000,5,3.0,3003
529,1350000,2,2.0,1211
530,1750000,5,3.5,2934
531,865000,3,2.0,1450
532,1100000,3,2.0,1184
533,2378999,4,2.5,2364
534,1200000,4,4.0,1930
535,2248000,4,2.5,1955
536,1138000,3,3.5,1712
537,1118000,3,1.0,1316
538,899999,3,1.0,1040
539,1498000,4,2.0,1236
540,839000,2,2.5,1473
541,1600000,4,2.5,1768
542,669000,3,1.0,1050
543,880000,3,2.5,1886
544,1500000,3,2.0,1108
545,1190000,3,2.0,1128
546,1299000,4,3.5,2126
547,589000,1,1.0,831
548,999000,6,3.0,3862
549,2300000,6,4.0,3096
550,595000,3,2.0,1176
551,490000,1,1.0,667
552,1999999,4,4.0,3231
553,615000,1,1.0,687
554,299000,2,2.0,1222
555,685000,1,1.0,868
557,510000,2,1.5,970
558,850000,5,3.0,3003
559,1350000,2,2.0,1211
560,1750000,5,3.5,2934
561,865000,3,2.0,1450
562,1100000,3,2.0,1184
563,2378999,4,2.5,2364
564,1200000,4,4.0,1930
565,2248000,4,2.5,1955
566,1138000,3,3.5,1712
567,1118000,3,1.0,1316
568,899999,3,1.0,1040
569,1498000,4,2.0,1236
570,839000,2,2.5,1473
571,1600000,4,2.5,1768
572,669000,3,1.0,1050
573,880000,3,2.5,1886
574,1500000,3,2.0,1108
575,1190000,3,2.0,1128
576,1299000,4,3.5,2126
577,589000,1,1.0,831
578,999000,6,3.0,3862
579,2300000,6,4.0,3096
580,595000,3,2.0,1176
581,490000,1,1.0,667
582,1999999,4,4.0,3231
583,615000,1,1.0,687
584,299000,2,2.0,1222
585,685000,1,1.0,868
587,510000,2,1.5,970
588,850000,5,3.0,3003
589,1350000,2,2.0,1211
590,1750000,5,3.5,2934
591,865000,3,2.0,1450
592,1100000,3,2.0,1184
593,2378999,4,2.5,2364
594,1200000,4,4.0,1930
595,2248000,4,2.5,1955
596,1138000,3,3.5,1712
597,1118000,3,1.0,1316
598,899999,3,1.0,1040
599,1498000,4,2.0,1236
600,839000,2,2.5,1473
601,1600000,4,2.5,1768
602,669000,3,1.0,1050
603,880000,3,2.5,1886
604,1500000,3,2.0,1108
605,1190000,3,2.0,1128
606,1299000,4,3.5,2126
607,589000,1,1.0,831
608,999000,6,3.0,3862
609,2300000,6,4.0,3096
610,595000,3,2.0,1176
611,490000,1,1.0,667
612,1999999,4,4.0,3231
613,615000,1,1.0,687
614,299000,2,2.0,1222
615,685000,1,1.0,868
617,510000,2,1.5,970
618,850000,5,3.0,3003
619,1350000,2,2.0,1211
620,1750000,5,3.5,2934
621,865000,3,2.0,1450
622,1100000,3,2.0,1184
623,2378999,4,2.5,2364
624,1200000,4,4.0,1930
625,2248000,4,2.5,1955
626,1138000,3,3.5,1712
627,1118000,3,1.0,1316
628,899999,3,1.0,1040
629,1498000,4,2.0,1236
630,839000,2,2.5,1473
631,1600000,4,2.5,1768
632,669000,3,1.0,1050
633,880000,3,2.5,1886
634,1500000,3,2.0,1108
635,1190000,3,2.0,1128
636,1299000,4,3.5,2126
637,589000,1,1.0,831
638,999000,6,3.0,3862
639,2300000,6,4.0,3096
640,595000,3,2.0,1176
641,490000,1,1.0,667
642,1999999,4,4.0,3231
643,615000,1,1.0,687
644,299000,2,2.0,1222
645,685000,1,1.0,868
647,510000,2,1.5,970
648,850000,5,3.0,3003
649,1350000,2,2.0,1211
650,1750000,5,3.5,2934
651,865000,3,2.0,1450
652,1100000,3,2.0,1184
653,2378999,4,2.5,2364
654,1200000,4,4.0,1930
655,2248000,4,2.5,1955
656,1138000,3,3.5,1712
657,1118000,3,1.0,1316
658,899999,3,1.0,1040
659,1498000,4,2.0,1236
660,839000,2,2.5,1473
661,1600000,4,2.5,1768
662,669000,3,1.0,1050
663,880000,3,2.5,1886
664,1500000,3,2.0,1108
665,1190000,3,2.0,1128
666,1299000,4,3.5,2126
667,589000,1,1.0,831
668,999000,6,3.0,3862
669,2300000,6,4.0,3096
670,595000,3,2.0,1176
671,490000,1,1.0,667
672,1999999,4,4.0,3231
673,615000,1,1.0,687
674,299000,2,2.0,1222
675,685000,1,1.0,868
677,510000,2,1.5,970
678,850000,5,3.0,3003
679,1350000,2,2.0,1211
680,1750000,5,3.5,2934
681,865000,3,2.0,1450
682,1100000,3,2.0,1184
683,2378999,4,2.5,2364
684,1200000,4,4.0,1930
685,2248000,4,2.5,1955
686,1138000,3,3.5,1712
687,1118000,3,1.0,1316
688,899999,3,1.0,1040
689,1498000,4,2.0,1236
690,839000,2,2.5,1473
691,1600000,4,2.5,1768
692,669000,3,1.0,1050
693,880000,3,2.5,1886
694,1500000,3,2.0,1108
695,1190000,3,2.0,1128
696,1299000,4,3.5,2126
697,589000,1,1.0,831
698,999000,6,3.0,3862
699,2300000,6,4.0,3096
700,595000,3,2.0,1176
701,490000,1,1.0,667
702,1999999,4,4.0,3231
703,615000,1,1.0,687
704,299000,2,2.0,1222
705,685000,1,1.0,868
707,510000,2,1.5,970
708,850000,5,3.0,3003
709,1350000,2,2.0,1211
710,1750000,5,3.5,2934
711,865000,3,2.0,1450
712,1100000,3,2.0,1184
713,2378999,4,2.5,2364
714,1200000,4,4.0,1930
715,2248000,4,2.5,1955
716,1138000,3,3.5,1712
717,1118000,3,1.0,1316
718,899999,3,1.0,1040
719,1498000,4,2.0,1236
720,839000,2,2.5,1473
721,1600000,4,2.5,1768
722,669000,3,1.0,1050
723,880000,3,2.5,1886
724,1500000,3,2.0,1108
725,1190000,3,2.0,1128
726,1299000,4,3.5,2126
727,589000,1,1.0,831
728,999000,6,3.0,3862
729,2300000,6,4.0,3096
730,595000,3,2.0,1176
731,490000,1,1.0,667
732,1999999,4,4.0,3231
733,615000,1,1.0,687
734,299000,2,2.0,1222
735,685000,1,1.0,868
737,510000,2,1.5,970
738,850000,5,3.0,3003
739,1350000,2,2.0,1211
740,1750000,5,3.5,2934
741,865000,3,2.0,1450
742,1100000,3,2.0,1184
743,2378999,4,2.5,2364
744,1200000,4,4.0,1930
745,2248000,4,2.5,1955
746,1138000,3,3.5,1712
747,1118000,3,1.0,1316
748,899999,3,1.0,1040
749,1498000,4,2.0,1236
750,839000,2,2.5,1473
751,1600000,4,2.5,1768
752,669000,3,1.0,1050
753,880000,3,2.5,1886
754,1500000,3,2.0,1108
755,1190000,3,2.0,1128
756,1299000,4,3.5,2126
757,589000,1,1.0,831
758,999000,6,3.0,3862
759,2300000,6,4.0,3096
760,595000,3,2.0,1176
761,490000,1,1.0,667
762,1999999,4,4.0,3231
763,615000,1,1.0,687
764,299000,2,2.0,1222
765,685000,1,1.0,868
767,510000,2,1.5,970
768,850000,5,3.0,3003
769,1350000,2,2.0,1211
770,1750000,5,3.5,2934
771,865000,3,2.0,1450
772,1100000,3,2.0,1184
773,2378999,4,2.5,2364
774,1200000,4,4.0,1930
775,2248000,4,2.5,1955
776,1138000,3,3.5,1712
777,1118000,3,1.0,1316
778,899999,3,1.0,1040
779,1498000,4,2.0,1236
780,839000,2,2.5,1473
781,1600000,4,2.5,1768
782,669000,3,1.0,1050
783,880000,3,2.5,1886
784,1500000,3,2.0,1108
785,1190000,3,2.0,1128
786,1299000,4,3.5,2126
787,589000,1,1.0,831
788,999000,6,3.0,3862
789,2300000,6,4.0,3096
790,595000,3,2.0,1176
791,490000,1,1.0,667
792,1999999,4,4.0,3231
793,615000,1,1.0,687
794,299000,2,2.0,1222
795,685000,1,1.0,868
797,510000,2,1.5,970
798,850000,5,3.0,3003
799,1350000,2,2.0,1211
800,1750000,5,3.5,2934
801,865000,3,2.0,1450
802,1100000,3,2.0,1184
803,2378999,4,2.5,2364
804,1200000,4,4.0,1930
805,2248000,4,2.5,1955
806,1138000,3,3.5,1712
807,1118000,3,1.0,1316
808,899999,3,1.0,1040
809,1498000,4,2.0,1236
810,839000,2,2.5,1473
811,1600000,4,2.5,1768
812,669000,3,1.0,1050
813,880000,3,2.5,1886
814,1500000,3,2.0,1108
815,1190000,3,2.0,1128
816,1299000,4,3.5,2126
817,589000,1,1.0,831
818,999000,6,3.0,3862
819,2300000,6,4.0,3096
820,595000,3,2.0,1176
821,490000,1,1.0,667
822,1999999,4,4.0,3231
823,615000,1,1.0,687
824,299000,2,2.0,1222
825,685000,1,1.0,868
827,510000,2,1.5,970
828,850000,5,3.0,3003
829,1350000,2,2.0,1211
830,1750000,5,3.5,2934
831,865000,3,2.0,1450
832,1100000,3,2.0,1184
833,2378999,4,2.5,2364
834,1200000,4,4.0,1930
835,2248000,4,2.5,1955
836,1138000,3,3.5,1712
837,1118000,3,1.0,1316
838,899999,3,1.0,1040
839,1498000,4,2.0,1236
840,839000,2,2.5,1473
841,1600000,4,2.5,1768
842,669000,3,1.0,1050
843,880000,3,2.5,1886
844,1500000,3,2.0,1108
845,1190000,3,2.0,1128
846,1299000,4,3.5,2126
847,589000,1,1.0,831
848,999000,6,3.0,3862
849,2300000,6,4.0,3096
850,595000,3,2.0,1176
851,490000,1,1.0,667
852,1999999,4,4.0,3231
853,615000,1,1.0,687
854,299000,2,2.0,1222
855,685000,1,1.0,868
857,510000,2,1.5,970
858,850000,5,3.0,3003
859,1350000,2,2.0,1211
860,1750000,5,3.5,2934
861,865000,3,2.0,1450
862,1100000,3,2.0,1184
863,2378999,4,2.5,2364
864,1200000,4,4.0,1930
865,2248000,4,2.5,1955
866,1138000,3,3.5,1712
867,1118000,3,1.0,1316
868,899999,3,1.0,1040
869,1498000,4,2.0,1236
870,839000,2,2.5,1473
871,1600000,4,2.5,1768
872,669000,3,1.0,1050
873,880000,3,2.5,1886
874,1500000,3,2.0,1108
875,1190000,3,2.0,1128
876,1299000,4,3.5,2126
877,589000,1,1.0,831
878,999000,6,3.0,3862
879,2300000,6,4.0,3096
880,595000,3,2.0,1176
881,490000,1,1.0,667
882,1999999,4,4.0,3231
883,615000,1,1.0,687
884,299000,2,2.0,1222
885,685000,1,1.0,868
887,510000,2,1.5,970
888,850000,5,3.0,3003
889,1350000,2,2.0,1211
890,1750000,5,3.5,2934
891,865000,3,2.0,1450
892,1100000,3,2.0,1184
893,2378999,4,2.5,2364
894,1200000,4,4.0,1930
895,2248000,4,2.5,1955
896,1138000,3,3.5,1712
897,1118000,3,1.0,1316
898,899999,3,1.0,1040
899,1498000,4,2.0,1236
900,839000,2,2.5,1473
901,1600000,4,2.5,1768
902,669000,3,1.0,1050
903,880000,3,2.5,1886
904,1500000,3,2.0,1108
905,1190000,3,2.0,1128
906,1299000,4,3.5,2126
907,589000,1,1.0,831
908,999000,6,3.0,3862
909,2300000,6,4.0,3096
910,595000,3,2.0,1176
911,490000,1,1.0,667
912,1999999,4,4.0,3231
913,615000,1,1.0,687
914,299000,2,2.0,1222
915,685000,1,1.0,868
917,510000,2,1.5,970
918,850000,5,3.0,3003
919,1350000,2,2.0,1211
920,1750000,5,3.5,2934
921,865000,3,2.0,1450
922,1100000,3,2.0,1184
923,2378999,4,2.5,2364
924,1200000,4,4.0,1930
925,2248000,4,2.5,1955
926,1138000,3,3.5,1712
927,1118000,3,1.0,1316
928,899999,3,1.0,1040
929,1498000,4,2.0,1236
930,839000,2,2.5,1473
931,1600000,4,2.5,1768
932,669000,3,1.0,1050
933,880000,3,2.5,1886
934,1500000,3,2.0,1108
935,1190000,3,2.0,1128
936,1299000,4,3.5,2126
937,589000,1,1.0,831
938,999000,6,3.0,3862
939,2300000,6,4.0,3096
940,595000,3,2.0,1176
941,490000,1,1.0,667
942,1999999,4,4.0,3231
943,615000,1,1.0,687
944,299000,2,2.0,1222
945,685000,1,1.0,868
947,510000,2,1.5,970
948,850000,5,3.0,3003
949,1350000,2,2.0,1211
950,1750000,5,3.5,2934
951,865000,3,2.0,1450
952,1100000,3,2.0,1184
953,2378999,4,2.5,2364
954,1200000,4,4.0,1930
955,2248000,4,2.5,1955
956,1138000,3,3.5,1712
957,1118000,3,1.0,1316
958,899999,3,1.0,1040
959,1498000,4,2.0,1236
960,839000,2,2.5,1473
961,1600000,4,2.5,1768
962,669000,3,1.0,1050
963,880000,3,2.5,1886
964,1500000,3,2.0,1108
965,1190000,3,2.0,1128
966,1299000,4,3.5,2126
967,589000,1,1.0,831
968,999000,6,3.0,3862
969,2300000,6,4.0,3096
970,595000,3,2.0,1176
971,490000,1,1.0,667
972,1999999,4,4.0,3231
973,615000,1,1.0,687
974,299000,2,2.0,1222
975,685000,1,1.0,868
977,510000,2,1.5,970
978,850000,5,3.0,3003
979,1350000,2,2.0,1211
980,1750000,5,3.5,2934
981,865000,3,2.0,1450
982,1100000,3,2.0,1184
983,2378999,4,2.5,2364
984,1200000,4,4.0,1930
985,2248000,4,2.5,1955
986,1138000,3,3.5,1712
987,1118000,3,1.0,1316
988,899999,3,1.0,1040
989,1498000,4,2.0,1236
990,839000,2,2.5,1473
991,1600000,4,2.5,1768
992,669000,3,1.0,1050
993,880000,3,2.5,1886
994,1500000,3,2.0,1108
995,1190000,3,2.0,1128
996,1299000,4,3.5,2126
997,589000,1,1.0,831
998,999000,6,3.0,3862
