SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,556 Saco Ter,Sunnyvale,CA,94089,1558000,3,2.5,SUNNYVALE,1720,672,2008,1,906,309,Active,October-14-2023 12:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/556-Saco-Ter-94089/home/17292192,MLSListings,ML81944671,N,Y,37.4000958,-122.0118675
MLS Listing,,Townhouse,318 Xavier Way,Mountain View,CA,94043,2250000,4,3.5,MOUNTAIN VIEW,1981,1356,2021,1,1136,450,Active,October-13-2023 10:30 AM,October-13-2023 01:00 PM,https://www.redfin.com/CA/Mountain-View/318-Xavier-Way-94043/home/172924463,MLSListings,ML81944589,N,Y,37.405729,-122.090319
MLS Listing,,Condo/Co-op,706 Avenue One,San Jose,CA,95123,1138000,3,3.5,SAN JOSE,1712,,2016,1,665,390,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/706-Avenue-One-95123/home/95957859,MLSListings,ML81943186,N,Y,37.2433675,-121.797521
MLS Listing,,Townhouse,6613 Folklore Ct,San Jose,CA,95120,1199000,3,2.5,SAN JOSE,1354,,1977,6,886,465,Active,,,https://www.redfin.com/CA/San-Jose/6613-Folklore-Ct-95120/home/890645,MLSListings,ML81944120,N,Y,37.2184802,-121.8585496
MLS Listing,,Single Family Residential,50 N Midway St,Campbell,CA,95008,2780000,4,2.0,CAMPBELL,2476,7332,1956,11,1123,,Active,,,https://www.redfin.com/CA/Campbell/50-N-Midway-St-95008/home/915769,MLSListings,ML81943672,N,Y,37.2878396,-121.9267558
MLS Listing,,Single Family Residential,6544 Little Falls Dr,San Jose,CA,95120,2378999,4,2.5,SAN JOSE,2364,10610,1965,15,1006,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/6544-Little-Falls-Dr-95120/home/1317823,MLSListings,ML81940360,N,Y,37.216909,-121.8700034
MLS Listing,,Townhouse,922 Gaspar Vis,San Jose,CA,95126,1200000,4,4.0,SAN JOSE,1930,984,2009,15,622,318,Active,,,https://www.redfin.com/CA/San-Jose/922-Gaspar-Vis-95126/home/28895153,MLSListings,ML81940163,N,Y,37.3213381,-121.9041297
MLS Listing,,Single Family Residential,4993 Grimsby Dr,San Jose,CA,95130,2248000,4,2.5,SAN JOSE,1955,5636,1965,15,1150,,Active,,,https://www.redfin.com/CA/San-Jose/4993-Grimsby-Dr-95130/home/1697470,MLSListings,ML81943157,N,Y,37.2804434,-121.9886765
MLS Listing,,Single Family Residential,818 N 13th St,San Jose,CA,95112,1118000,3,1.0,SAN JOSE,1316,5404,1910,16,850,,Active,,,https://www.redfin.com/CA/San-Jose/818-N-13th-St-95112/home/1548418,MLSListings,ML81943043,N,Y,37.3578108,-121.8895021
MLS Listing,,Single Family Residential,2451 Cory Ave,San Jose,CA,95128,899999,3,1.0,SAN JOSE,1040,7230,1950,19,865,,Active,,,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,MLSListings,ML81942790,N,Y,37.3319824,-121.9487775
MLS Listing,,Single Family Residential,1037 Keltner Ave,San Jose,CA,95117,1498000,4,2.0,SAN JOSE,1236,6613,1958,21,1212,,Active,,,https://www.redfin.com/CA/San-Jose/1037-Keltner-Ave-95117/home/749377,MLSListings,ML81942573,N,Y,37.3077923,-121.9681735
MLS Listing,,Townhouse,1882 Winding Creek Ct,San Jose,CA,95148,839000,2,2.5,SAN JOSE,1473,1974,1984,22,570,466,Active,,,https://www.redfin.com/CA/San-Jose/1882-Winding-Creek-Ct-95148/home/1109067,MLSListings,ML81942039,N,Y,37.3503339,-121.794899
MLS Listing,,Condo/Co-op,325 San Miguel Ct #1,Milpitas,CA,95035,669000,3,1.0,MILPITAS,1050,,1971,26,637,544,Active,,,https://www.redfin.com/CA/Milpitas/325-San-Miguel-Ct-95035/unit-1/home/167190717,MLSListings,ML81942143,N,Y,37.4246516,-121.9115457
MLS Listing,,Single Family Residential,8911 Del Rio Cir,Gilroy,CA,95020,859000,3,2.5,GILROY,1886,3239,2000,26,455,79,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/8911-Del-Rio-Cir-95020/home/1695327,MLSListings,ML81942075,N,Y,37.0259216,-121.5833107
MLS Listing,,Townhouse,532 Tyrella Ave #29,Mountain View,CA,94043,1190000,3,2.0,,1128,960,1971,27,1055,375,Active,,,https://www.redfin.com/CA/Mountain-View/532-Tyrella-Ave-94043/unit-29/home/1057077,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039207,N,Y,37.404157,-122.0630153
MLS Listing,,Condo/Co-op,1550 Technology Dr #2004,San Jose,CA,95110,589000,1,1.0,SAN JOSE,831,,2005,30,709,497,Active,,,https://www.redfin.com/CA/San-Jose/1550-Technology-Dr-95110/unit-2004/home/2123261,MLSListings,ML81941558,N,Y,37.3629302,-121.9146208
MLS Listing,,Single Family Residential,1475 Mckendrie St,San Jose,CA,95126,2300000,6,4.0,SAN JOSE,3096,10376,1925,35,743,,Active,,,https://www.redfin.com/CA/San-Jose/1475-McKendrie-St-95126/home/1719627,MLSListings,ML81938281,N,Y,37.3375957,-121.9306671
MLS Listing,,Condo/Co-op,1060 S 3rd St #381,San Jose,CA,95112,490000,1,1.0,SAN JOSE,667,,2005,49,735,575,Active,,,https://www.redfin.com/CA/San-Jose/1060-S-3rd-St-95112/unit-381/home/2124611,MLSListings,ML81939622,N,Y,37.3217979,-121.8760512
MLS Listing,,Single Family Residential,22095 Old Santa Cruz Hwy,Los Gatos,CA,95033,1900000,4,4.0,LOS GATOS,3231,42874,1938,57,588,,Active,October-15-2023 01:30 PM,October-15-2023 04:30 PM,https://www.redfin.com/CA/Los-Gatos/22095-Old-Santa-Cruz-Hwy-95033/home/1421560,MLSListings,ML81938449,N,Y,37.1514025,-121.9749046
MLS Listing,,Condo/Co-op,1375 Lick Ave #1030,San Jose,CA,95110,615000,1,1.0,SAN JOSE,687,,2009,71,895,515,Active,,,https://www.redfin.com/CA/San-Jose/1375-Lick-Ave-95110/unit-1030/home/17290531,MLSListings,ML81936870,N,Y,37.311013,-121.882429
MLS Listing,,Condo/Co-op,38 N Almaden Blvd #403,San Jose,CA,95110,685000,1,1.0,SAN JOSE,868,,2008,98,789,577,Active,,,https://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-403/home/17288134,MLSListings,ML81933877,N,Y,37.3348687,-121.8957681
Redfin Data,,Condo/Co-op,1653 Albatross Dr,Sunnyvale,CA,94087,1200000,3,2.5,Sunnyvale,1280,2900,1971,1,938,607,Pre On-Market,,,https://www.redfin.com/CA/Sunnyvale/1653-Albatross-Dr-94087/home/760126,Coming Soon,95338,N,Y,37.3395915,-122.0317565
Redfin Data,,Single Family Residential,6816 Avenida Rotella,San Jose,CA,95139,1100000,3,2.0,San Jose,1184,4880,1970,13,929,63,Pre On-Market,,,https://www.redfin.com/CA/San-Jose/6816-Avenida-Rotella-95139/home/1680242,Coming Soon,95129,N,Y,37.2300944,-121.7731635
Redfin Data,,Single Family Residential,1555 Mission Springs Cir,San Jose,CA,95131,1600000,4,2.5,San Jose,1768,3500,1997,22,905,,Pre On-Market,,,https://www.redfin.com/CA/San-Jose/1555-Mission-Springs-Cir-95131/home/686616,Coming Soon,94988,N,Y,37.3838032,-121.8870905
Redfin Data,,Single Family Residential,213 Velvetlake Dr,Sunnyvale,CA,94089,1500000,3,2.0,Sunnyvale,1108,7700,1957,27,1354,,Pre On-Market,,,https://www.redfin.com/CA/Sunnyvale/213-Velvetlake-Dr-94089/home/1320183,Coming Soon,94934,N,Y,37.3927278,-121.9978939
MLS Listing,,Single Family Residential,323 El Cajon Dr,San Jose,CA,95111,863880,3,2.0,SAN JOSE,1123,4984,1959,1,769,,Active,October-14-2023 01:00 PM,October-14-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/323-El-Cajon-Dr-95111/home/653062,MLSListings,ML81944685,N,Y,37.2832262,-121.8294608
MLS Listing,,Single Family Residential,1771 Beverly Blvd,San Jose,CA,95116,975000,3,2.0,SAN JOSE,1287,5638,1948,1,758,,Active,October-14-2023 01:30 PM,October-14-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/1771-Beverly-Blvd-95116/home/1203580,MLSListings,ML81944682,N,Y,37.3542899,-121.8551269
